metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,MY_LOWER,MY_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,KS_statistic,KS_p_value,Wasserstein_Distance
N50,normal,314764.2555555556,84434.08229060653,299889.0,255182.25,370796.5,115614.25,165078.0,552699.0,170917.735,534092.6599999997,170917.74,534092.66,Rhizobium_leguminosarum,90,0,,,,,,,,,,,,,,
number,non-normal,124.08888888888887,41.515631445528896,121.0,91.25,151.75,60.5,57.0,253.0,57.445,244.98999999999987,57.44,244.99,Rhizobium_leguminosarum,90,0,,,,,,,,,,,,,,
longest,non-normal,759696.8222222222,239314.1207789729,724246.0,588811.25,849883.25,261072.0,434368.0,1576092.0,439759.175,1576092.0,439759.18,1576092.0,Rhizobium_leguminosarum,90,0,,,,,,,,,,,,,,
GC_Content,non-normal,0.6072406666666667,0.0012520577640206,0.606975,0.60636125,0.60801025,0.001649,0.60499,0.609681,0.60506031,0.609664535,0.6047,0.6118,Rhizobium_leguminosarum,90,24,normal,0.6073767916666667,0.0019924577364644,0.606984,0.6057035,0.60914475,0.00344125,0.604702,0.611779,0.604741675,0.611603165,0.2805555555555555,0.0827753503852118,0.0007782472222222
Completeness_Specific,non-normal,99.9928888888889,0.0084648875354409,99.99,99.99,100.0,0.0100000000000051,99.96,100.0,99.96445,100.0,95.78,100.0,Rhizobium_leguminosarum,90,24,non-normal,99.02041666666666,1.075970411483925,99.465,98.9675,99.7025,0.7349999999999994,95.78,99.87,95.86395,99.86425,1.0,7.248189090758356e-25,0.9724722222222194
Contamination,non-normal,1.2686666666666666,0.7831435231027438,1.085,0.6025,1.7375,1.135,0.13,3.03,0.17895,3.03,0.01,6.93,Rhizobium_leguminosarum,90,21,non-normal,0.9609523809523808,1.4060884777481952,0.56,0.4,1.06,0.66,0.01,6.93,0.019,6.431999999999992,0.3603174603174603,0.0175121037525467,0.6820634920634923
Total_Coding_Sequences,normal,7132.1,281.1276123834947,7157.5,6926.5,7296.0,369.5,6498.0,7840.0,6531.375,7784.374999999999,6531.38,8837.0,Rhizobium_leguminosarum,90,24,normal,7479.25,526.0191892887559,7425.5,7211.5,7718.5,507.0,6665.0,8837.0,6670.29,8793.53,0.4222222222222222,0.0014810426273761,349.7944444444445
Genome_Size,normal,7420936.3,268681.05589781643,7463704.5,7238395.75,7595093.5,356697.75,6656950.0,8048177.0,6739448.105,7991791.939999999,6739448.1,8799320.0,Rhizobium_leguminosarum,90,24,normal,7679017.75,493832.2870482996,7677640.5,7426804.5,7939553.75,512749.25,6872702.0,8799320.0,6876229.855,8772697.385,0.4111111111111111,0.0021653574160714,281238.97777777776
N50,non-normal,229567.16388729156,90867.37376678888,222203.0,146820.5,310774.0,163953.5,53277.0,590297.0,69058.07,415218.62,69058.07,415218.62,Salmonella_arizonae,1739,0,,,,,,,,,,,,,,
number,non-normal,108.40598044853364,25.24032136827156,105.0,90.0,122.0,32.0,54.0,222.0,61.0,201.0,61.0,201.0,Salmonella_arizonae,1739,0,,,,,,,,,,,,,,
longest,non-normal,631453.129959747,281106.4540028076,563840.0,392661.0,778587.0,385926.0,166802.0,1667780.0,198950.96,1555783.72,198950.96,1555783.72,Salmonella_arizonae,1739,0,,,,,,,,,,,,,,
GC_Content,non-normal,0.5141422363427257,0.0007471501138447,0.514205,0.513691,0.5147345,0.0010434999999999,0.510584,0.5163340000000001,0.5116628,0.51561627,0.5116,0.5156,Salmonella_arizonae,1739,1,insufficient_data,0.511634,0.0,0.511634,0.511634,0.511634,0.0,0.511634,0.511634,0.511634,0.511634,0.9953996549741232,0.0103448275862068,0.0025102213916043
Completeness_Specific,non-normal,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,97.05,100.0,Salmonella_arizonae,1739,1,insufficient_data,97.05,0.0,97.05,97.05,97.05,0.0,97.05,97.05,97.05,97.05,1.0,0.0011494252873563,2.950000000000003
Contamination,non-normal,0.0596837262794709,0.0471458289048418,0.05,0.03,0.07,0.04,0.0,0.48,0.0,0.3161999999999989,0.0,6.28,Salmonella_arizonae,1739,1,insufficient_data,6.28,0.0,6.28,6.28,6.28,0.0,6.28,6.28,6.28,6.28,1.0,0.0011494252873563,6.22031627372053
Total_Coding_Sequences,non-normal,4328.243818286372,108.29107109456298,4305.0,4247.5,4397.5,150.0,4053.0,4697.0,4121.69,4631.48,4121.69,5479.0,Salmonella_arizonae,1739,1,insufficient_data,5479.0,0.0,5479.0,5479.0,5479.0,0.0,5479.0,5479.0,5479.0,5479.0,1.0,0.0011494252873563,1150.7561817136288
Genome_Size,non-normal,4565858.822311673,82504.00089318371,4547365.0,4501243.0,4619099.5,117856.5,4334723.0,4829237.0,4413019.52,4803895.499999999,4413019.52,5542871.0,Salmonella_arizonae,1739,1,insufficient_data,5542871.0,0.0,5542871.0,5542871.0,5542871.0,0.0,5542871.0,5542871.0,5542871.0,5542871.0,1.0,0.0011494252873563,977012.1776883266
N50,non-normal,205407.3590425532,125055.32923096576,170987.5,111434.0,249612.0,138178.0,31980.0,555618.0,41746.0,552481.0,41746.0,552481.0,Streptococcus_mitis,376,0,,,,,,,,,,,,,,
number,non-normal,54.08510638297872,27.788873318431456,50.0,34.0,67.0,33.0,14.0,232.0,14.0,165.75,14.0,165.75,Streptococcus_mitis,376,0,,,,,,,,,,,,,,
longest,non-normal,400172.5239361702,170579.64533355602,365803.5,273870.0,509909.5,236039.5,79038.0,968969.0,100535.0,901666.25,100535.0,901666.25,Streptococcus_mitis,376,0,,,,,,,,,,,,,,
GC_Content,non-normal,0.4003690585106383,0.0029217531637302,0.3998775,0.39877425,0.401906,0.0031317499999999,0.392511,0.4131669999999999,0.392711625,0.411809875,0.3927,0.4118,Streptococcus_mitis,376,19,non-normal,0.4020531052631578,0.0023329568519649,0.40212,0.40153,0.4040114999999999,0.0024814999999999,0.395963,0.405201,0.39610016,0.40513683,0.4682250839865621,0.0003779096954273,0.0020102231243001
Completeness_Specific,non-normal,99.99154255319152,0.0295941213590322,100.0,99.99,100.0,0.0100000000000051,99.74,100.0,99.76875,100.0,92.31,100.0,Streptococcus_mitis,376,19,non-normal,98.9857894736842,1.7300268199608728,99.5,99.24,99.785,0.5450000000000017,92.31,99.82,92.6898,99.82,0.9893617021276596,1.5452020066530386e-28,1.005753079507279
Contamination,non-normal,0.0672606382978723,0.1198811297042493,0.03,0.01,0.07,0.06,0.0,0.86,0.0,0.78125,0.0,1.11,Streptococcus_mitis,376,19,non-normal,0.4268421052631579,0.2789841088018974,0.39,0.2,0.59,0.3899999999999999,0.2,1.11,0.2,1.1082,0.928191489361702,7.249474334700516e-20,0.3595814669652855
Total_Coding_Sequences,non-normal,1924.896276595745,103.32108797423116,1930.0,1852.0,1983.0,131.0,1729.0,2231.0,1731.0,2225.25,1731.0,2225.25,Streptococcus_mitis,376,19,normal,1958.842105263158,118.50883296322138,1934.0,1879.0,2052.0,173.0,1796.0,2166.0,1796.09,2163.57,0.2369820828667413,0.2221147930464589,39.844204927211656
Genome_Size,non-normal,2005701.380319149,92971.39458303506,2008584.5,1946806.5,2057421.25,110614.75,1788473.0,2284997.0,1818020.5,2259249.375,1818020.5,2259249.38,Streptococcus_mitis,376,19,normal,2015470.5263157892,117454.63470829849,1975864.0,1920650.5,2119765.0,199114.5,1868857.0,2220448.0,1868857.18,2217255.52,0.2455207166853303,0.1897427072831363,38803.00069988801
N50,non-normal,121167.09991603694,51866.092198084254,106660.0,87794.0,136993.0,49199.0,26815.0,354110.0,36092.65,295591.0499999997,36092.65,295591.05,Enterococcus_lactis,1191,0,,,,,,,,,,,,,,
number,non-normal,95.41897565071368,35.34170406624265,91.0,72.0,112.0,40.0,24.0,321.0,27.0,225.04999999999995,27.0,225.05,Enterococcus_lactis,1191,0,,,,,,,,,,,,,,
longest,non-normal,288068.35096557514,124456.36593729736,252629.0,207279.0,348887.0,141608.0,82546.0,996857.0,112601.2,831717.2,112601.2,831717.2,Enterococcus_lactis,1191,0,,,,,,,,,,,,,,
GC_Content,non-normal,0.3815469042821159,0.0010417684800304,0.3815829999999999,0.3808125,0.3822784999999999,0.0014659999999999,0.378264,0.3844599999999999,0.37904885,0.38410485,0.379,0.3847,Enterococcus_lactis,1191,21,normal,0.3834369523809523,0.0012376953804855,0.383855,0.382793,0.384316,0.0015229999999999,0.380415,0.384702,0.3804812,0.3847017,0.651073527647835,4.631186139957943e-09,0.0018900480988365
Completeness_Specific,non-normal,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,96.05,100.0,Enterococcus_lactis,1191,21,non-normal,99.01619047619047,0.6939636067751286,99.23,99.03,99.32,0.289999999999992,96.05,99.42,96.32,99.42,1.0,2.145338448902361e-45,0.9838095238095244
Contamination,non-normal,0.4409319899244333,0.3086315853767691,0.38,0.2,0.61,0.41,0.0,1.88,0.03,1.5629999999999973,0.03,1.56,Enterococcus_lactis,1191,21,non-normal,0.3738095238095237,0.27477222065309,0.27,0.27,0.27,0.0,0.08,1.27,0.08,1.2369999999999997,0.3966654671944344,0.001937824260444,0.1291951541321818
Total_Coding_Sequences,normal,2682.362720403022,104.3872742564361,2686.0,2606.0,2758.0,152.0,2377.0,3029.0,2429.05,2943.1,2429.05,3077.0,Enterococcus_lactis,1191,21,normal,2687.4761904761904,143.5822707743739,2684.0,2567.0,2735.0,168.0,2506.0,3077.0,2506.0,3056.8,0.1893966654671944,0.3992223770444493,36.48638599016434
Genome_Size,normal,2767975.965575147,93335.1911770245,2765442.0,2704933.5,2832309.0,127375.5,2490367.0,3042719.0,2529543.1,2995674.499999999,2529543.1,3073413.0,Enterococcus_lactis,1191,21,normal,2747164.476190476,120999.82777698056,2763469.0,2629230.0,2804644.0,175414.0,2590833.0,3073413.0,2590833.1,3054435.9,0.2311382991483747,0.1879084040766318,33807.01439366679
N50,non-normal,974574.133004926,349364.5488338772,1022929.0,845960.0,1133387.0,287427.0,132222.0,2893524.0,182791.05,2127714.7600000007,182791.05,2127714.76,Priestia_megaterium,203,0,,,,,,,,,,,,,,
number,non-normal,71.77339901477832,30.50410425059925,58.0,55.0,80.0,25.0,32.0,207.0,33.02,197.95000000000005,33.02,197.95,Priestia_megaterium,203,0,,,,,,,,,,,,,,
longest,non-normal,1738445.0197044334,465395.6843350762,2028499.0,1205498.0,2028691.0,823193.0,441034.0,2996343.0,534852.41,2890236.450000003,534852.41,2890236.45,Priestia_megaterium,203,0,,,,,,,,,,,,,,
GC_Content,non-normal,0.3771929359605911,0.0013345212387915,0.3773749999999999,0.3771185,0.3780055,0.0008869999999999,0.373478,0.3815639999999999,0.3737595,0.38103471,0.3687,0.3833,Priestia_megaterium,203,63,non-normal,0.3788266666666666,0.0025764893427556,0.37872,0.3775469999999999,0.3810605,0.0035135,0.368662,0.383321,0.37052851,0.38316786,0.5314723590585659,4.901126160810098e-13,0.0018041784345922
Completeness_Specific,non-normal,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,92.03,100.0,Priestia_megaterium,203,63,non-normal,96.28984126984126,1.1617453919672398,96.6,95.87,97.0,1.1299999999999957,92.03,98.03,92.4671,97.9928,1.0,2.0107082351251856e-62,3.71015873015873
Contamination,non-normal,0.7280788177339902,0.8532174710477191,0.24,0.24,1.1,0.8600000000000001,0.12,4.6,0.12,4.571100000000008,0.12,12.44,Priestia_megaterium,203,63,non-normal,3.614920634920635,2.159236250199911,3.3,2.32,4.56,2.24,0.18,12.44,0.18,10.930299999999988,0.7279693486590039,1.4534983248566934e-25,2.8871264367816094
Total_Coding_Sequences,non-normal,5680.389162561576,230.76860498150847,5629.0,5553.5,5714.0,160.5,5159.0,6384.0,5173.57,6307.74,5173.57,7227.0,Priestia_megaterium,203,63,non-normal,5878.095238095239,400.5788951594498,5845.0,5527.0,6117.0,590.0,5287.0,7227.0,5287.62,7083.469999999999,0.4165298303229338,5.070637375902366e-08,226.63108921729616
Genome_Size,non-normal,5532128.763546798,212081.48436417448,5484827.0,5404410.0,5565917.5,161507.5,5036828.0,6191194.0,5053487.63,6136796.630000001,5036631.0,6872701.0,Priestia_megaterium,203,63,normal,5618001.936507937,375594.19612289313,5605327.0,5300489.0,5849840.5,549351.5,5036631.0,6872701.0,5048616.22,6729954.059999999,0.3431855500821018,1.520667339920529e-05,184238.72304324032
N50,non-normal,80084.81731909845,22653.475832324853,79981.0,65417.0,97035.0,31618.0,23366.0,153036.0,26385.2,134276.0,26385.2,134276.0,Mannheimia_haemolytica,2529,0,,,,,,,,,,,,,,
number,non-normal,126.16686437327007,26.54765542183328,122.0,109.0,138.0,29.0,72.0,247.0,79.64,224.36000000000013,79.64,224.36,Mannheimia_haemolytica,2529,0,,,,,,,,,,,,,,
longest,non-normal,256856.9525504152,85168.65788357431,293119.0,158927.0,339448.0,180521.0,69100.0,384623.0,87176.0,341158.72,87176.0,341158.72,Mannheimia_haemolytica,2529,0,,,,,,,,,,,,,,
GC_Content,non-normal,0.4102382325029656,0.0005835538669005,0.410157,0.4097429999999999,0.410758,0.001015,0.408858,0.412091,0.40910148,0.41176916,0.4091,0.4134,Mannheimia_haemolytica,2529,155,non-normal,0.410941129032258,0.000605998272218,0.410975,0.410477,0.4114815,0.0010045,0.409581,0.4134,0.40958331,0.41299575,0.4433602469419253,1.305741084090367e-26,0.0007028965292924
Completeness_Specific,non-normal,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,87.44,100.0,Mannheimia_haemolytica,2529,155,non-normal,94.52935483870968,2.763170146984485,94.47,92.46,96.735,4.274999999999992,87.44,98.38,88.749,98.3415,1.0,3.0856383687439684e-256,5.470645161290323
Contamination,non-normal,0.205753262158956,0.0577877041995755,0.19,0.17,0.22,0.0499999999999999,0.11,0.76,0.13,0.46,0.13,6.49,Mannheimia_haemolytica,2529,155,non-normal,2.375806451612903,1.243902221532131,2.02,1.41,3.19,1.78,0.78,6.49,0.8416,5.997199999999993,1.0,3.0856383687439684e-256,2.1700531894539465
Total_Coding_Sequences,non-normal,2686.7726374060894,104.4620296812196,2717.0,2585.0,2763.0,178.0,2378.0,2918.0,2423.0,2867.0800000000004,2252.0,2964.0,Mannheimia_haemolytica,2529,155,normal,2693.767741935484,139.0085548239963,2710.0,2613.0,2797.0,184.0,2252.0,2964.0,2414.47,2959.38,0.160650008290922,0.0009225745180258,37.40848735315501
Genome_Size,non-normal,2599213.1704230923,66509.54675730558,2611907.0,2528875.0,2644679.0,115804.0,2406679.0,2739335.0,2448855.04,2709163.8800000004,2335738.0,2829372.0,Mannheimia_haemolytica,2529,155,normal,2648197.1032258063,90871.59511354286,2647533.0,2590622.0,2727264.0,136642.0,2335738.0,2829372.0,2463283.88,2828806.05,0.3329659817089503,6.4254405863726476e-15,50386.35093559867
N50,non-normal,352803.3009118541,242348.26402971495,306962.0,143496.0,484855.0,341359.0,68651.0,1185478.0,77051.8,985053.7200000004,77051.8,985053.72,Citrobacter_braakii,329,0,,,,,,,,,,,,,,
number,non-normal,111.209726443769,70.59707427562243,85.0,50.0,179.0,129.0,24.0,295.0,25.64,271.7600000000002,25.64,271.76,Citrobacter_braakii,329,0,,,,,,,,,,,,,,
longest,non-normal,802304.6231003039,465541.315818874,725825.0,407684.0,1013273.0,605589.0,209797.0,2341834.0,215136.8,2256387.840000001,215136.8,2256387.84,Citrobacter_braakii,329,0,,,,,,,,,,,,,,
GC_Content,non-normal,0.5202792158054711,0.0014183164853149,0.520628,0.519448,0.521324,0.0018759999999999,0.5161,0.522842,0.51634708,0.52251704,0.5114,0.5225,Citrobacter_braakii,329,38,non-normal,0.5199807105263158,0.0020780026329436,0.5205029999999999,0.5194265,0.52112175,0.00169525,0.51138,0.522445,0.512142015,0.5223573100000001,0.1116621340585506,0.7442875367883348,0.0004078890577507
Completeness_Specific,non-normal,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,97.96,100.0,Citrobacter_braakii,329,38,non-normal,99.46684210526315,0.4710185227286322,99.7,99.3625,99.7875,0.4250000000000113,97.96,99.83,97.9896,99.83,1.0,2.654739609538814e-52,0.5331578947368403
Contamination,non-normal,0.3402735562310031,0.2742775831966443,0.25,0.14,0.46,0.32,0.02,1.57,0.04,1.3636000000000037,0.04,5.62,Citrobacter_braakii,329,38,non-normal,2.9255263157894738,0.8948851657245163,2.575,2.3675,3.385,1.0174999999999996,1.78,5.62,1.8022,5.446099999999998,1.0,2.654739609538814e-52,2.585252759558472
Total_Coding_Sequences,non-normal,4925.851063829788,336.02024337506043,4837.0,4617.0,5199.0,582.0,4413.0,5807.0,4436.0,5762.040000000001,4436.0,6161.0,Citrobacter_braakii,329,38,non-normal,4991.3421052631575,396.1494452400368,4835.5,4701.25,5141.75,440.5,4568.0,6161.0,4574.845,6087.369999999999,0.201647736362182,0.1079455126548939,113.42609182530794
Genome_Size,non-normal,5168210.67781155,258397.7694361428,5107767.0,4922966.0,5375435.0,452469.0,4710085.0,5881441.0,4773195.36,5835378.120000001,4773195.36,6171839.0,Citrobacter_braakii,329,38,non-normal,5159885.921052632,334855.62055108417,5013951.5,4932408.75,5312797.5,380388.75,4817760.0,6171839.0,4820907.59,6093325.739999999,0.1958086706127019,0.1271448148636833,94517.6881298992
N50,non-normal,250717.6081223249,102570.4066077489,231834.0,176131.0,315968.0,139837.0,24959.0,913615.0,54993.32,587004.5599999998,54993.32,587004.56,Klebsiella_pneumoniae,69389,0,,,,,,,,,,,,,,
number,non-normal,136.69172347202007,58.05359531544216,125.0,99.0,161.0,62.0,36.0,1259.0,53.0,389.0,53.0,389.0,Klebsiella_pneumoniae,69389,0,,,,,,,,,,,,,,
longest,non-normal,619632.99416334,262059.47606210143,558885.0,433467.0,750693.0,317226.0,78377.0,2159855.0,184638.8,1601149.9999999977,184638.8,1601150.0,Klebsiella_pneumoniae,69389,0,,,,,,,,,,,,,,
GC_Content,non-normal,0.5712926149966133,0.0022617784202858,0.571597,0.570154,0.5727920000000001,0.002638,0.561723,0.578924,0.56487876,0.5762820599999999,0.561,0.5802,Klebsiella_pneumoniae,69389,2834,non-normal,0.570610927664079,0.0025223639466545,0.5708175,0.56928225,0.572378,0.00309575,0.560994,0.580198,0.56251221,0.576307245,0.1611326855980022,3.098628229074448e-62,0.0006895441401651
Completeness_Specific,non-normal,99.99989249016411,0.0069422568157093,100.0,100.0,100.0,0.0,98.26,100.0,99.99,100.0,95.57,100.0,Klebsiella_pneumoniae,69389,2834,non-normal,98.46054693013409,0.5528872864679187,98.55,98.22,98.9,0.6800000000000068,95.57,99.31,96.3933,99.08835,0.9999855884938534,0.0,1.5393455600300614
Contamination,non-normal,0.3870217181397628,0.4030117473031287,0.21,0.1,0.58,0.48,0.0,3.63,0.02,2.1,0.02,4.14,Klebsiella_pneumoniae,69389,2834,non-normal,0.8592448835568103,0.5110444920433559,0.79,0.43,1.19,0.76,0.07,4.14,0.19,2.3867000000000007,0.486145025132314,0.0,0.4722231654170473
Total_Coding_Sequences,non-normal,5283.294657654672,205.03412502736916,5280.0,5138.0,5428.0,290.0,4627.0,6129.0,4792.0,5811.0,4792.0,6490.0,Klebsiella_pneumoniae,69389,2834,non-normal,5626.857798165138,252.1106371350083,5626.0,5434.0,5814.75,380.75,4840.0,6490.0,5018.31,6204.0,0.5267308521452392,0.0,343.56314051046616
Genome_Size,non-normal,5587640.037974319,169689.85651482642,5585544.0,5474487.0,5698667.0,224180.0,4995721.0,6198259.0,5158682.94,6015463.42,4996433.0,6374553.0,Klebsiella_pneumoniae,69389,2834,non-normal,5682557.898729711,204370.23421779845,5687165.0,5542534.0,5829252.75,286718.75,4996433.0,6374553.0,5167264.22,6171085.64,0.2359430733506099,7.881452075395078e-134,95163.24094019952
N50,non-normal,111113.37837837836,23559.65489841703,107854.0,95032.75,125049.0,30016.25,47680.0,205530.0,51037.175,191204.36999999988,51037.18,191204.37,Corynebacterium_striatum,370,0,,,,,,,,,,,,,,
number,non-normal,172.96486486486486,43.86171584506961,165.0,144.25,205.75,61.5,87.0,338.0,89.535,288.155,89.54,288.15,Corynebacterium_striatum,370,0,,,,,,,,,,,,,,
longest,non-normal,263557.2,51017.796652848025,261391.5,221736.0,290378.0,68642.0,145763.0,450195.0,157649.705,407913.8249999997,157649.7,407913.82,Corynebacterium_striatum,370,0,,,,,,,,,,,,,,
GC_Content,non-normal,0.5924597378378379,0.0008612130156343,0.5926795,0.59192625,0.5929935,0.0010672499999999,0.58946,0.594219,0.5898472950000001,0.594036715,0.5898,0.5945,Corynebacterium_striatum,370,6,insufficient_data,0.5919153333333332,0.0015737809744546,0.5914554999999999,0.59061025,0.5930875,0.0024772499999999,0.590165,0.594456,0.590173425,0.59443105,0.4378378378378378,0.1518072190665684,0.0010019828828828
Completeness_Specific,non-normal,99.94443243243242,0.2803257314355816,99.99,99.99,100.0,0.0100000000000051,96.65,100.0,98.16655,100.0,98.17,100.0,Corynebacterium_striatum,370,6,insufficient_data,99.65833333333336,0.3029530583366976,99.795,99.54,99.9,0.3600000000000136,99.07,99.9,99.0805,99.9,0.9405405405405406,1.998424886582208e-07,0.3197207207207176
Contamination,non-normal,0.6467297297297298,0.5315335868795198,0.53,0.29,0.78,0.49,0.01,3.22,0.02,2.684399999999987,0.02,2.68,Corynebacterium_striatum,370,6,insufficient_data,0.2466666666666666,0.2885403880838098,0.13,0.13,0.13,0.0,0.07,0.89,0.0715,0.8709999999999998,0.7063063063063063,0.0017758756720363,0.4022252252252252
Total_Coding_Sequences,non-normal,2796.775675675676,141.1133182853994,2762.0,2688.0,2909.0,221.0,2460.0,3113.0,2552.095,3110.155,2487.0,3110.16,Corynebacterium_striatum,370,6,insufficient_data,2741.0,132.36439601846612,2778.5,2691.75,2836.75,145.0,2487.0,2883.0,2491.7,2882.025,0.3243243243243243,0.466671166384234,65.88738738738738
Genome_Size,non-normal,2873946.043243244,89244.92015343353,2856736.0,2806977.75,2938564.0,131586.25,2624526.0,3080425.0,2692769.36,3076865.01,2665682.0,3076865.01,Corynebacterium_striatum,370,6,insufficient_data,2899738.333333333,130696.90042316314,2949407.0,2824476.75,3002061.25,177584.5,2665682.0,3031488.0,2668982.25,3030819.65,0.3891891891891892,0.2596692976161132,62333.81801801802
N50,non-normal,103649.25562700964,47050.81770467999,101991.5,68993.25,119439.75,50446.5,27439.0,351097.0,29074.03,266150.0,29074.03,266150.0,Lacticaseibacillus_paracasei,622,0,,,,,,,,,,,,,,
number,non-normal,133.62379421221866,61.1414990534602,129.5,80.5,182.0,101.5,34.0,379.0,49.0,314.0,49.0,314.0,Lacticaseibacillus_paracasei,622,0,,,,,,,,,,,,,,
longest,non-normal,291803.1463022508,104912.9804351706,260678.0,232560.25,332923.75,100363.5,75536.0,679879.0,91287.295,640664.875,91287.3,640664.88,Lacticaseibacillus_paracasei,622,0,,,,,,,,,,,,,,
GC_Content,non-normal,0.462977080385852,0.0010938241789127,0.462769,0.46229725,0.46363675,0.0013395,0.460309,0.4657909999999999,0.46055194,0.465680685,0.4606,0.4664,Lacticaseibacillus_paracasei,622,108,normal,0.4633738148148149,0.0009614612446509,0.4633445,0.46287525,0.4638525,0.0009772499999999,0.461153,0.466405,0.461190985,0.46616746,0.3248481600571632,3.958677757643858e-09,0.0004033781112302
Completeness_Specific,non-normal,99.87220257234728,0.2542155277065996,99.93,99.84,99.97,0.1299999999999954,95.9,100.0,99.21525,100.0,85.06,100.0,Lacticaseibacillus_paracasei,622,108,non-normal,93.02333333333335,2.498130041391701,93.295,91.8575,94.59,2.7325000000000017,85.06,99.09,85.11885000000001,98.21795,0.995176848874598,1.4128536396902456e-126,6.848869239013934
Contamination,non-normal,0.1931028938906752,0.2112187548566674,0.11,0.05,0.28,0.23,0.0,1.24,0.0,1.0189499999999998,0.0,13.05,Lacticaseibacillus_paracasei,622,108,normal,6.725555555555555,2.459569118141139,6.51,4.82,8.162500000000001,3.342500000000001,0.74,13.05,1.6548500000000002,12.905550000000002,0.9907407407407408,8.940577131858249e-124,6.53245266166488
Total_Coding_Sequences,non-normal,2903.297427652733,166.53814861812148,2935.0,2765.0,3019.0,254.0,2563.0,3444.0,2587.105,3313.425,2587.1,3353.0,Lacticaseibacillus_paracasei,622,108,normal,3034.3981481481483,115.50075675676528,3043.0,2962.5,3114.25,151.75,2768.0,3353.0,2772.28,3315.0150000000003,0.3582231749434322,4.7611773728619425e-11,131.39332499702277
Genome_Size,non-normal,2979997.1639871383,144624.57364747065,3026546.0,2841904.75,3081357.0,239452.25,2635549.0,3330873.0,2651786.935,3291178.83,2651786.94,3434047.0,Lacticaseibacillus_paracasei,622,108,normal,3098962.75925926,109939.08553518358,3101473.0,3038693.25,3171268.75,132575.5,2829327.0,3434047.0,2849759.72,3373092.845,0.3635822317494343,2.257397831787517e-11,118965.595272121
N50,non-normal,337106.2661007026,202696.80709607236,301504.0,189962.75,418659.5,228696.75,32363.0,1418708.0,48875.2,1236899.6000000006,48875.2,1236899.6,Klebsiella_quasipneumoniae,3416,0,,,,,,,,,,,,,,
number,non-normal,128.06118266978922,70.2150598450664,115.0,74.0,166.0,92.0,29.0,525.0,35.0,397.7000000000007,35.0,397.7,Klebsiella_quasipneumoniae,3416,0,,,,,,,,,,,,,,
longest,non-normal,823309.274590164,458814.0726986475,719314.0,486861.0,1031881.0,545020.0,117389.0,2631140.0,176576.275,2521410.1250000014,176576.28,2521410.13,Klebsiella_quasipneumoniae,3416,0,,,,,,,,,,,,,,
GC_Content,non-normal,0.5770202906908666,0.0032586922296412,0.577354,0.5749340000000001,0.5792675,0.0043334999999999,0.567424,0.5841080000000001,0.5686837499999999,0.58385285,0.565,0.5863,Klebsiella_quasipneumoniae,3416,159,non-normal,0.5766177924528302,0.0037778700366116,0.577486,0.574044,0.5790985,0.0050544999999999,0.564969,0.586333,0.56581035,0.58312797,0.0763536005184628,0.3213756556189247,0.0006143612614702
Completeness_Specific,non-normal,99.99993559718968,0.0007999252346751,100.0,100.0,100.0,0.0,99.99,100.0,99.99,100.0,97.07,100.0,Klebsiella_quasipneumoniae,3416,159,non-normal,98.97415094339624,0.4195584709541986,99.08,98.83,99.25,0.4200000000000017,97.07,99.42,97.1411,99.3805,1.0,2.2308068289227427e-281,1.0257846537934685
Contamination,non-normal,0.2120345433255269,0.2433677405092466,0.12,0.05,0.3,0.25,0.0,1.7,0.0,1.2285000000000037,0.0,2.31,Klebsiella_quasipneumoniae,3416,159,non-normal,0.6812578616352202,0.3579900953240806,0.59,0.385,0.875,0.49,0.31,2.31,0.31,1.741200000000006,0.7570257611241218,5.244578406573356e-90,0.4692233183096931
Total_Coding_Sequences,non-normal,5148.197892271663,273.4564003202696,5128.0,4945.0,5336.0,391.0,4595.0,6034.0,4645.075,5835.475000000001,4467.0,6241.0,Klebsiella_quasipneumoniae,3416,159,non-normal,5418.176100628931,339.1997710963834,5373.0,5166.0,5603.0,437.0,4467.0,6241.0,4797.22,6203.870000000001,0.3272668021740091,5.577843433138377e-15,272.0447505633865
Genome_Size,non-normal,5475832.853337237,229106.9393689111,5461595.0,5304538.75,5622592.0,318053.25,4989417.0,6289325.0,5029724.725,6050579.8,4579303.0,6212153.0,Klebsiella_quasipneumoniae,3416,159,normal,5536344.578616352,294548.89972543425,5494304.0,5312379.5,5685903.0,373523.5,4579303.0,6212153.0,4978852.61,6210187.48,0.1215276243500802,0.0205081795847335,67361.78331529023
N50,non-normal,178176.0899315738,123197.20187538142,117568.5,86296.75,255240.5,168943.75,19987.0,671112.0,35281.5,612048.0,35281.5,612048.0,Mycobacterium_intracellulare,2046,0,,,,,,,,,,,,,,
