metric,median,q1,q3,min,max,upper_bound,lower_bound,MY_LOWER,MY_UPPER,species
N50,79981.0,65417.0,97035.0,23366.0,153036.0,134276.0,26385.2,26385.2,134276.0,Mannheimia_haemolytica
number,122.0,109.0,138.0,72.0,247.0,224.36000000000013,79.64,79.64,224.36,Mannheimia_haemolytica
longest,293119.0,158927.0,339448.0,69100.0,384623.0,341158.72,87176.0,87176.0,341158.72,Mannheimia_haemolytica
GC_Content,0.410157,0.4097429999999999,0.410758,0.408858,0.412091,0.41176916,0.40910148,0.4091,0.4134,Mannheimia_haemolytica
Completeness_Specific,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.44,100.0,Mannheimia_haemolytica
Contamination,0.19,0.17,0.22,0.11,0.76,0.46,0.13,0.13,6.49,Mannheimia_haemolytica
Total_Coding_Sequences,2717.0,2585.0,2763.0,2378.0,2918.0,2867.0800000000004,2423.0,2252.0,2964.0,Mannheimia_haemolytica
Genome_Size,2611907.0,2528875.0,2644679.0,2406679.0,2739335.0,2709163.8800000004,2448855.04,2335738.0,2829372.0,Mannheimia_haemolytica
N50,306962.0,143496.0,484855.0,68651.0,1185478.0,985053.7200000004,77051.8,77051.8,985053.72,Citrobacter_braakii
number,85.0,50.0,179.0,24.0,295.0,271.7600000000002,25.64,25.64,271.76,Citrobacter_braakii
longest,725825.0,407684.0,1013273.0,209797.0,2341834.0,2256387.840000001,215136.8,215136.8,2256387.84,Citrobacter_braakii
GC_Content,0.520628,0.519448,0.521324,0.5161,0.522842,0.52251704,0.51634708,0.5114,0.5225,Citrobacter_braakii
Completeness_Specific,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.96,100.0,Citrobacter_braakii
Contamination,0.25,0.14,0.46,0.02,1.57,1.3636000000000037,0.04,0.04,5.62,Citrobacter_braakii
Total_Coding_Sequences,4837.0,4617.0,5199.0,4413.0,5807.0,5762.040000000001,4436.0,4436.0,6161.0,Citrobacter_braakii
Genome_Size,5107767.0,4922966.0,5375435.0,4710085.0,5881441.0,5835378.120000001,4773195.36,4773195.36,6171839.0,Citrobacter_braakii
N50,231834.0,176131.0,315968.0,24959.0,913615.0,587004.5599999998,54993.32,54993.32,587004.56,Klebsiella_pneumoniae
number,125.0,99.0,161.0,36.0,1259.0,389.0,53.0,53.0,389.0,Klebsiella_pneumoniae
longest,558885.0,433467.0,750693.0,78377.0,2159855.0,1601149.9999999977,184638.8,184638.8,1601150.0,Klebsiella_pneumoniae
GC_Content,0.571597,0.570154,0.5727920000000001,0.561723,0.578924,0.5762820599999999,0.56487876,0.561,0.5802,Klebsiella_pneumoniae
Completeness_Specific,100.0,100.0,100.0,98.26,100.0,100.0,99.99,95.57,100.0,Klebsiella_pneumoniae
Contamination,0.21,0.1,0.58,0.0,3.63,2.1,0.02,0.02,4.14,Klebsiella_pneumoniae
Total_Coding_Sequences,5280.0,5138.0,5428.0,4627.0,6129.0,5811.0,4792.0,4792.0,6490.0,Klebsiella_pneumoniae
Genome_Size,5585544.0,5474487.0,5698667.0,4995721.0,6198259.0,6015463.42,5158682.94,4996433.0,6374553.0,Klebsiella_pneumoniae
N50,107854.0,95032.75,125049.0,47680.0,205530.0,191204.36999999988,51037.175,51037.18,191204.37,Corynebacterium_striatum
number,165.0,144.25,205.75,87.0,338.0,288.155,89.535,89.54,288.15,Corynebacterium_striatum
longest,261391.5,221736.0,290378.0,145763.0,450195.0,407913.8249999997,157649.705,157649.7,407913.82,Corynebacterium_striatum
GC_Content,0.5926795,0.59192625,0.5929935,0.58946,0.594219,0.594036715,0.5898472950000001,0.5898,0.5945,Corynebacterium_striatum
Completeness_Specific,99.99,99.99,100.0,96.65,100.0,100.0,98.16655,98.17,100.0,Corynebacterium_striatum
Contamination,0.53,0.29,0.78,0.01,3.22,2.684399999999987,0.02,0.02,2.68,Corynebacterium_striatum
Total_Coding_Sequences,2762.0,2688.0,2909.0,2460.0,3113.0,3110.155,2552.095,2487.0,3110.16,Corynebacterium_striatum
Genome_Size,2856736.0,2806977.75,2938564.0,2624526.0,3080425.0,3076865.01,2692769.36,2665682.0,3076865.01,Corynebacterium_striatum
N50,101991.5,68993.25,119439.75,27439.0,351097.0,266150.0,29074.03,29074.03,266150.0,Lacticaseibacillus_paracasei
number,129.5,80.5,182.0,34.0,379.0,314.0,49.0,49.0,314.0,Lacticaseibacillus_paracasei
longest,260678.0,232560.25,332923.75,75536.0,679879.0,640664.875,91287.295,91287.3,640664.88,Lacticaseibacillus_paracasei
GC_Content,0.462769,0.46229725,0.46363675,0.460309,0.4657909999999999,0.465680685,0.46055194,0.4606,0.4664,Lacticaseibacillus_paracasei
Completeness_Specific,99.93,99.84,99.97,95.9,100.0,100.0,99.21525,85.06,100.0,Lacticaseibacillus_paracasei
Contamination,0.11,0.05,0.28,0.0,1.24,1.0189499999999998,0.0,0.0,13.05,Lacticaseibacillus_paracasei
Total_Coding_Sequences,2935.0,2765.0,3019.0,2563.0,3444.0,3313.425,2587.105,2587.1,3353.0,Lacticaseibacillus_paracasei
Genome_Size,3026546.0,2841904.75,3081357.0,2635549.0,3330873.0,3291178.83,2651786.935,2651786.94,3434047.0,Lacticaseibacillus_paracasei
N50,301504.0,189962.75,418659.5,32363.0,1418708.0,1236899.6000000006,48875.2,48875.2,1236899.6,Klebsiella_quasipneumoniae
number,115.0,74.0,166.0,29.0,525.0,397.7000000000007,35.0,35.0,397.7,Klebsiella_quasipneumoniae
longest,719314.0,486861.0,1031881.0,117389.0,2631140.0,2521410.1250000014,176576.275,176576.28,2521410.13,Klebsiella_quasipneumoniae
GC_Content,0.577354,0.5749340000000001,0.5792675,0.567424,0.5841080000000001,0.58385285,0.5686837499999999,0.565,0.5863,Klebsiella_quasipneumoniae
Completeness_Specific,100.0,100.0,100.0,99.99,100.0,100.0,99.99,97.07,100.0,Klebsiella_quasipneumoniae
Contamination,0.12,0.05,0.3,0.0,1.7,1.2285000000000037,0.0,0.0,2.31,Klebsiella_quasipneumoniae
Total_Coding_Sequences,5128.0,4945.0,5336.0,4595.0,6034.0,5835.475000000001,4645.075,4467.0,6241.0,Klebsiella_quasipneumoniae
Genome_Size,5461595.0,5304538.75,5622592.0,4989417.0,6289325.0,6050579.8,5029724.725,4579303.0,6212153.0,Klebsiella_quasipneumoniae
N50,117568.5,86296.75,255240.5,19987.0,671112.0,612048.0,35281.5,35281.5,612048.0,Mycobacterium_intracellulare
number,155.0,109.0,214.75,23.0,640.0,421.5500000000002,33.225,33.22,421.55,Mycobacterium_intracellulare
longest,377715.5,237290.5,728752.0,77903.0,1426930.0,1282114.425,134543.9,134543.9,1282114.42,Mycobacterium_intracellulare
GC_Content,0.675881,0.67494875,0.678601,0.6706789999999999,0.6871639999999999,0.682170825,0.6713532249999999,0.6714,0.6822,Mycobacterium_intracellulare
Completeness_Specific,100.0,100.0,100.0,99.99,100.0,100.0,100.0,94.49,100.0,Mycobacterium_intracellulare
Contamination,0.39,0.26,0.64,0.02,4.3,2.361000000000004,0.07,0.07,12.23,Mycobacterium_intracellulare
Total_Coding_Sequences,5818.5,5402.0,6027.0,4866.0,7318.0,7087.300000000001,4970.45,4941.0,7087.3,Mycobacterium_intracellulare
Genome_Size,6200101.5,5722405.25,6375893.75,5173525.0,7421920.0,7229137.725000001,5287766.1,5257760.0,7229137.72,Mycobacterium_intracellulare
N50,160080.0,133481.0,192316.0,27165.0,257208.0,251991.58500000005,31580.79,31580.79,251991.59,Sinorhizobium_medicae
number,203.0,154.0,278.25,84.0,486.0,484.17,91.32,91.32,484.17,Sinorhizobium_medicae
longest,425820.5,385146.0,531627.5,165088.0,1000898.0,923973.9500000008,166665.46,166665.46,923973.95,Sinorhizobium_medicae
GC_Content,0.611566,0.611094,0.61195975,0.609043,0.6127,0.6126935950000001,0.6097082049999999,0.6095,0.6127,Sinorhizobium_medicae
Completeness_Specific,99.99,99.99,100.0,99.96,100.0,100.0,99.96,87.85,100.0,Sinorhizobium_medicae
Contamination,0.27,0.15,0.4325,0.01,1.41,1.3459500000000006,0.0283,0.03,5.36,Sinorhizobium_medicae
Total_Coding_Sequences,6543.5,6411.5,6698.5,6170.0,7155.0,7151.34,6191.96,6191.96,7644.0,Sinorhizobium_medicae
Genome_Size,6689072.0,6602689.5,6796043.75,6415992.0,7227701.0,7109957.885000001,6425204.22,6425204.22,7768883.0,Sinorhizobium_medicae
N50,219129.0,144112.5,259394.0,58131.0,573953.0,553859.0900000001,59405.64,59405.64,553859.09,Aerococcus_urinae
number,37.0,29.5,52.0,19.0,125.0,109.96000000000004,19.0,19.0,109.96,Aerococcus_urinae
longest,417128.0,341797.0,495889.0,174474.0,764465.0,751356.7000000001,175144.69,175144.69,751356.7,Aerococcus_urinae
GC_Content,0.424339,0.4210865,0.4254715,0.417107,0.425967,0.42592517,0.41713896,0.4171,0.426,Aerococcus_urinae
Completeness_Specific,99.98,99.97,99.99,99.9,99.99,99.99,99.9188,97.24,99.99,Aerococcus_urinae
Contamination,0.33,0.22,0.495,0.14,1.01,0.8173000000000005,0.1494,0.15,2.68,Aerococcus_urinae
Total_Coding_Sequences,1747.0,1733.0,1834.0,1700.0,1932.0,1932.0,1700.0,1700.0,1932.0,Aerococcus_urinae
Genome_Size,1959637.0,1944790.0,2043421.0,1899917.0,2150594.0,2143377.62,1900214.98,1900214.98,2143377.62,Aerococcus_urinae
N50,84268.0,53452.0,127159.5,14400.0,359206.0,343344.3900000004,16760.56,16760.56,343344.39,Ligilactobacillus_salivarius
number,74.0,57.5,105.0,26.0,267.0,251.7100000000002,31.66,31.66,251.71,Ligilactobacillus_salivarius
longest,257567.0,160031.5,389135.5,62900.0,759343.0,756557.8000000002,69325.64,69325.64,756557.8,Ligilactobacillus_salivarius
GC_Content,0.328013,0.326666,0.328598,0.3245729999999999,0.33139,0.33118576,0.32463339,0.3246,0.3321,Ligilactobacillus_salivarius
Completeness_Specific,99.95,99.88,99.97,98.92,100.0,99.99,99.3366,92.47,99.99,Ligilactobacillus_salivarius
Contamination,0.08,0.03,0.15,0.0,0.42,0.3468000000000006,0.0,0.0,3.24,Ligilactobacillus_salivarius
Total_Coding_Sequences,1964.0,1898.0,2024.0,1738.0,2290.0,2280.02,1742.3,1742.3,2346.0,Ligilactobacillus_salivarius
Genome_Size,1999599.0,1939241.0,2035769.5,1791631.0,2214169.0,2206283.94,1806912.58,1806912.58,2320461.0,Ligilactobacillus_salivarius
N50,99896.5,72189.5,112741.75,26227.0,202721.0,182092.95499999943,31780.18,31780.18,182092.95,Actinobacillus_lignieresii
number,68.0,59.0,81.0,42.0,185.0,163.59499999999997,44.405,44.4,163.59,Actinobacillus_lignieresii
longest,239762.0,207173.5,317755.5,70549.0,383525.0,382682.015,91514.555,91514.56,382682.02,Actinobacillus_lignieresii
GC_Content,0.4111889999999999,0.410922,0.41147075,0.410148,0.412761,0.412369355,0.410198315,0.4102,0.4124,Actinobacillus_lignieresii
Completeness_Specific,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.22,100.0,Actinobacillus_lignieresii
Contamination,0.06,0.05,0.1475,0.0,1.1,0.4756999999999982,0.0,0.0,0.57,Actinobacillus_lignieresii
Total_Coding_Sequences,2140.5,2114.25,2183.0,2040.0,2290.0,2282.595,2056.81,2056.81,2342.0,Actinobacillus_lignieresii
Genome_Size,2252407.0,2226106.5,2280533.0,2172381.0,2376585.0,2341701.84,2191713.065,2191713.06,2377048.0,Actinobacillus_lignieresii
N50,325195.0,315158.0,325276.0,135193.0,787302.0,740380.2000000004,145590.4,145590.4,740380.2,Bacillus_spizizenii
number,44.0,38.0,51.0,28.0,111.0,91.2000000000002,28.0,28.0,91.2,Bacillus_spizizenii
longest,553620.0,553130.0,768730.0,373014.0,1317231.0,1310037.6,386839.2,386839.2,1310037.6,Bacillus_spizizenii
GC_Content,0.438414,0.438349,0.438468,0.434983,0.438857,0.4388522,0.4349884,0.435,0.4397,Bacillus_spizizenii
Completeness_Specific,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.76,100.0,Bacillus_spizizenii
Contamination,0.02,0.02,0.02,0.0,0.52,0.4480000000000007,0.006,0.01,5.88,Bacillus_spizizenii
Total_Coding_Sequences,3990.0,3983.0,3996.0,3926.0,4233.0,4216.8,3942.2,3942.2,4304.0,Bacillus_spizizenii
Genome_Size,3997080.0,3994897.0,3999668.0,3920332.0,4175842.0,4175672.8,3952729.0,3952729.0,4222511.0,Bacillus_spizizenii
N50,245049.5,167633.0,395172.25,32049.0,1038585.0,1023872.3649999998,47318.145,47318.14,1023872.36,Citrobacter_portucalensis
number,111.0,70.75,154.25,26.0,368.0,354.89999999999986,28.0,28.0,354.9,Citrobacter_portucalensis
longest,623099.5,469414.0,913219.5,126378.0,2016693.0,1980480.12,135335.805,135335.8,1980480.12,Citrobacter_portucalensis
GC_Content,0.5186095,0.5171859999999999,0.51948925,0.514305,0.521657,0.521188755,0.51459879,0.5135,0.5212,Citrobacter_portucalensis
Completeness_Specific,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.46,100.0,Citrobacter_portucalensis
Contamination,0.12,0.07,0.26,0.0,1.49,1.185599999999999,0.01,0.01,3.72,Citrobacter_portucalensis
Total_Coding_Sequences,4974.5,4748.75,5147.75,4238.0,5689.0,5608.23,4367.09,4367.09,5669.0,Citrobacter_portucalensis
Genome_Size,5198216.5,5007460.5,5337443.25,4616281.0,5758583.0,5731006.345,4728905.73,4694654.0,5779133.0,Citrobacter_portucalensis
N50,92539.0,68397.75,122261.0,6518.0,461781.0,299959.1999999998,11528.825,11528.82,299959.2,Staphylococcus_epidermidis
number,91.0,74.0,116.0,29.0,693.0,436.8099999999995,40.595,40.6,436.81,Staphylococcus_epidermidis
longest,256880.5,182070.25,342090.5,29692.0,949701.0,728252.4349999999,48468.31,48468.31,728252.44,Staphylococcus_epidermidis
GC_Content,0.320045,0.3192545,0.3206969999999999,0.316595,0.328403,0.3242292899999999,0.317459595,0.3175,0.3242,Staphylococcus_epidermidis
Completeness_Specific,100.0,99.99,100.0,99.86,100.0,100.0,99.97,96.23,100.0,Staphylococcus_epidermidis
Contamination,0.13,0.07,0.34,0.01,2.24,1.5040499999999974,0.02,0.01,1.5,Staphylococcus_epidermidis
Total_Coding_Sequences,2359.0,2306.0,2434.0,2067.0,2957.0,2751.0,2189.19,2189.19,2808.0,Staphylococcus_epidermidis
Genome_Size,2501315.5,2463262.25,2556430.5,2208302.0,2955801.0,2784329.65,2366665.23,2323375.0,2854742.0,Staphylococcus_epidermidis
N50,232909.0,211077.5,278569.5,93945.0,677392.0,557250.579999999,95470.475,95470.48,557250.58,Clostridium_tetani
number,53.0,42.0,63.0,26.0,109.0,103.36499999999997,28.415,28.42,103.36,Clostridium_tetani
longest,427785.0,393065.0,589654.75,188957.0,1267314.0,1258236.015,251135.2,251135.2,1258236.01,Clostridium_tetani
GC_Content,0.2852705,0.28504075,0.28549125,0.284422,0.286117,0.28611539,0.28459266,0.2846,0.2879,Clostridium_tetani
Completeness_Specific,99.99,99.99,99.99,99.97,100.0,100.0,99.97,97.08,100.0,Clostridium_tetani
Contamination,0.0,0.0,0.01,0.0,0.12,0.1038999999999998,0.0,0.0,0.78,Clostridium_tetani
Total_Coding_Sequences,2721.0,2700.25,2772.0,2595.0,2915.0,2873.945,2604.66,2604.66,3156.0,Clostridium_tetani
Genome_Size,2819030.5,2801162.5,2860167.75,2728196.0,2937946.0,2923260.385,2738177.195,2738177.2,3070777.0,Clostridium_tetani
N50,308500.0,248356.0,387670.75,137787.0,592192.0,546829.3899999997,137838.15,137838.15,546829.39,Neisseria_perflava
number,38.5,29.0,48.5,16.0,69.0,68.535,16.0,16.0,68.54,Neisseria_perflava
longest,451271.5,391835.75,603069.75,246198.0,958844.0,833712.964999999,253654.275,253654.28,833712.96,Neisseria_perflava
GC_Content,0.490245,0.4895407499999999,0.4913555,0.486903,0.493101,0.493079145,0.487158285,0.4872,0.4931,Neisseria_perflava
Completeness_Specific,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.37,100.0,Neisseria_perflava
Contamination,0.02,0.01,0.05,0.0,0.54,0.4190999999999991,0.0,0.0,1.5,Neisseria_perflava
Total_Coding_Sequences,2163.5,2111.25,2231.0,2024.0,2376.0,2349.495,2030.51,2030.51,2349.5,Neisseria_perflava
Genome_Size,2264598.0,2223655.0,2314090.0,2150294.0,2432793.0,2427741.24,2153110.505,2153110.5,2427741.24,Neisseria_perflava
N50,260397.0,175212.0,350877.0,62775.0,1144805.0,1107179.86,70614.56999999999,70614.57,1107179.86,Escherichia_fergusonii
number,81.5,59.0,111.0,27.0,265.0,209.1,27.38,27.38,209.1,Escherichia_fergusonii
longest,554952.0,442717.75,721853.75,223548.0,1569930.0,1528193.87,230908.78,230908.78,1528193.87,Escherichia_fergusonii
GC_Content,0.4984365,0.49773,0.4991744999999999,0.494836,0.500951,0.500949715,0.4949696,0.495,0.5012,Escherichia_fergusonii
Completeness_Specific,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.94,100.0,Escherichia_fergusonii
Contamination,0.3,0.16,0.4,0.02,1.0,0.92905,0.0519,0.05,8.53,Escherichia_fergusonii
Total_Coding_Sequences,4462.5,4314.25,4636.25,4092.0,5076.0,5021.24,4098.76,4098.76,5127.0,Escherichia_fergusonii
Genome_Size,4703626.5,4597305.75,4858782.0,4367970.0,5193242.0,5166035.715,4373190.17,4373190.17,5228048.0,Escherichia_fergusonii
N50,99580.0,47338.0,111401.0,25793.0,247722.0,214792.99999999968,25805.0,25805.0,214793.0,Aeromonas_salmonicida
number,190.0,154.0,304.0,51.0,490.0,487.0,77.88,77.88,487.0,Aeromonas_salmonicida
longest,379189.0,162759.0,382499.0,116006.0,626795.0,590891.7199999989,116134.28,116134.28,590891.72,Aeromonas_salmonicida
GC_Content,0.584826,0.5844830000000001,0.586634,0.581477,0.589587,0.58903832,0.5817042,0.5814,0.5903,Aeromonas_salmonicida
Completeness_Specific,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.04,100.0,Aeromonas_salmonicida
Contamination,0.62,0.46,0.65,0.17,1.72,1.5167999999999984,0.1892,0.13,1.74,Aeromonas_salmonicida
Total_Coding_Sequences,4543.0,4451.0,4644.0,4187.0,4928.0,4910.84,4211.4,4211.4,4985.0,Aeromonas_salmonicida
Genome_Size,4758794.0,4673360.0,4815449.0,4372975.0,5253439.0,5147549.6,4395925.92,4395925.92,5191207.0,Aeromonas_salmonicida
N50,181706.0,143628.0,224490.0,29270.0,608518.0,576946.0,42904.24,42904.24,576946.0,Parabacteroides_merdae
number,101.0,72.0,126.0,22.0,353.0,311.5600000000003,25.0,25.0,311.56,Parabacteroides_merdae
longest,424600.0,340482.0,554052.0,118559.0,1280511.0,1138056.2000000002,161380.8,161380.8,1138056.2,Parabacteroides_merdae
GC_Content,0.453436,0.4523469999999999,0.454859,0.447768,0.4586639999999999,0.4580288,0.44915108,0.4492,0.458,Parabacteroides_merdae
Completeness_Specific,99.99,99.98,99.99,99.92,100.0,100.0,99.94,94.62,100.0,Parabacteroides_merdae
Contamination,0.57,0.35,1.07,0.11,5.11,4.078800000000002,0.11,0.11,6.64,Parabacteroides_merdae
Total_Coding_Sequences,3928.0,3780.0,4099.0,3442.0,4745.0,4715.960000000001,3504.0,3504.0,4715.96,Parabacteroides_merdae
Genome_Size,4604593.0,4483758.0,4774710.0,4258240.0,5337392.0,5295682.080000002,4267789.72,4267789.72,5295682.08,Parabacteroides_merdae
N50,75305.0,38774.5,188888.75,13928.0,622511.0,483082.564999997,14904.615,14904.62,483082.56,Bacillus_paranthracis
number,208.5,117.0,350.0,43.0,835.0,785.5749999999997,53.685,53.68,785.57,Bacillus_paranthracis
longest,288797.0,176642.5,556961.25,70850.0,1522380.0,1297645.4399999972,77390.06,77390.06,1297645.44,Bacillus_paranthracis
GC_Content,0.352905,0.35245675,0.3534502499999999,0.349658,0.355143,0.354784875,0.3505886199999999,0.3506,0.356,Bacillus_paranthracis
Completeness_Specific,100.0,100.0,100.0,99.99,100.0,100.0,100.0,95.37,100.0,Bacillus_paranthracis
Contamination,0.09,0.05,0.58,0.0,2.19,1.92,0.0,0.0,1.92,Bacillus_paranthracis
Total_Coding_Sequences,5726.0,5596.75,5812.5,5230.0,6585.0,6308.899999999996,5274.685,5274.68,6308.9,Bacillus_paranthracis
Genome_Size,5562353.0,5467685.25,5626176.75,5148549.0,6172678.0,5956269.744999999,5165583.13,5149464.0,6055697.0,Bacillus_paranthracis
N50,312136.0,249832.0,432171.0,19782.0,1335338.0,1287443.0599999998,20049.0,20049.0,1287443.06,Serratia_nematodiphila
number,71.0,52.0,81.5,21.0,604.0,575.49,27.31,27.31,575.49,Serratia_nematodiphila
longest,724685.0,544621.0,1035019.0,88498.0,2493872.0,2069876.49,90425.17,90425.17,2069876.49,Serratia_nematodiphila
GC_Content,0.59723,0.5959175,0.597313,0.59183,0.598533,0.59832407,0.59230653,0.5923,0.5983,Serratia_nematodiphila
Completeness_Specific,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.78,100.0,Serratia_nematodiphila
Contamination,0.06,0.04,0.11,0.01,0.67,0.5569000000000001,0.0131,0.01,0.56,Serratia_nematodiphila
Total_Coding_Sequences,4705.0,4687.5,4817.0,4590.0,5377.0,5353.04,4602.93,4602.93,5353.04,Serratia_nematodiphila
Genome_Size,5081724.0,5068894.5,5171696.5,4939194.0,5457290.0,5372772.45,4955458.28,4955458.28,5372772.45,Serratia_nematodiphila
N50,42309.0,37399.0,51042.0,16299.0,165796.0,151058.0,17756.54,17756.54,151058.0,Yersinia_pestis
number,233.0,214.0,256.0,85.0,614.0,535.0,114.56,114.56,535.0,Yersinia_pestis
longest,107249.0,106741.0,133179.0,56876.0,564065.0,522410.8799999986,59872.96,59872.96,522410.88,Yersinia_pestis
GC_Content,0.475259,0.474875,0.47539,0.471632,0.478781,0.47769332,0.47307402,0.4731,0.4777,Yersinia_pestis
Completeness_Specific,100.0,100.0,100.0,99.39,100.0,100.0,100.0,94.64,100.0,Yersinia_pestis
Contamination,0.22,0.2,0.25,0.02,1.3,0.612199999999998,0.07,0.07,1.95,Yersinia_pestis
Total_Coding_Sequences,4160.0,4140.0,4204.0,3722.0,4505.0,4447.44,3923.12,3923.12,4520.0,Yersinia_pestis
Genome_Size,4631744.0,4604945.0,4676282.0,4158127.0,4987522.0,4913435.52,4402469.8,4402469.8,4930959.0,Yersinia_pestis
N50,164075.0,90701.0,251682.0,36443.0,512506.0,495784.3600000001,36516.32,36516.32,495784.36,Stenotrophomonas_pavanii
number,71.0,56.0,109.0,31.0,271.0,241.88000000000025,32.04,32.04,241.88,Stenotrophomonas_pavanii
longest,396990.0,278213.0,616551.0,131450.0,961069.0,961066.4,132096.88,132096.88,961066.4,Stenotrophomonas_pavanii
GC_Content,0.67069,0.6696810000000001,0.6724450000000001,0.6674869999999999,0.6750449999999999,0.67503876,0.66775012,0.6678,0.675,Stenotrophomonas_pavanii
Completeness_Specific,100.0,100.0,100.0,99.99,100.0,100.0,99.99,98.32,100.0,Stenotrophomonas_pavanii
Contamination,0.14,0.1,0.25,0.0,0.84,0.8296,0.0,0.0,1.45,Stenotrophomonas_pavanii
Total_Coding_Sequences,4222.0,4043.0,4296.0,3857.0,4584.0,4579.84,3857.52,3857.52,4579.84,Stenotrophomonas_pavanii
Genome_Size,4659006.0,4467793.0,4707834.0,4301280.0,4880643.0,4868502.04,4303804.6,4303804.6,4868502.04,Stenotrophomonas_pavanii
N50,126545.0,113945.0,225776.5,27247.0,578190.0,571968.8500000001,29399.2,29399.2,571968.85,Bacillus_wiedmannii
number,235.0,97.0,296.5,45.0,594.0,502.2000000000006,46.7,46.7,502.2,Bacillus_wiedmannii
longest,411791.0,396956.0,706206.5,196990.0,1524538.0,1476020.8500000003,202176.7,202176.7,1476020.85,Bacillus_wiedmannii
GC_Content,0.352423,0.351077,0.352648,0.348986,0.353935,0.35377435,0.3491186,0.3491,0.3547,Bacillus_wiedmannii
Completeness_Specific,100.0,100.0,100.0,99.99,100.0,100.0,99.9985,98.82,100.0,Bacillus_wiedmannii
Contamination,0.11,0.08,0.17,0.0,1.67,1.0240000000000042,0.0,0.0,1.76,Bacillus_wiedmannii
Total_Coding_Sequences,6041.0,5753.5,6126.5,5281.0,6459.0,6425.85,5347.3,5347.3,6425.85,Bacillus_wiedmannii
Genome_Size,5793824.0,5618619.5,5848396.5,5256217.0,6136866.0,6120161.8,5261517.6,5261517.6,6211130.0,Bacillus_wiedmannii
N50,113612.0,80712.0,154211.5,32408.0,286160.0,281706.41,33433.55,33433.55,281706.41,Acinetobacter_ursingii
number,130.0,89.0,169.0,46.0,252.0,252.0,50.77,50.77,252.0,Acinetobacter_ursingii
longest,341771.0,263246.0,381004.0,122447.0,613183.0,604707.24,124017.92,124017.92,604707.24,Acinetobacter_ursingii
GC_Content,0.400008,0.399304,0.400665,0.396477,0.402032,0.40197423,0.39722006,0.3972,0.4025,Acinetobacter_ursingii
Completeness_Specific,99.99,99.99,100.0,99.88,100.0,100.0,99.8853,99.24,100.0,Acinetobacter_ursingii
Contamination,0.23,0.145,0.295,0.02,1.13,1.13,0.02,0.02,1.13,Acinetobacter_ursingii
Total_Coding_Sequences,3422.0,3310.0,3542.0,3033.0,3815.0,3813.41,3035.12,3035.12,3949.0,Acinetobacter_ursingii
Genome_Size,3592866.0,3491285.0,3692287.5,3233422.0,4025744.0,4024415.82,3251927.48,3251927.48,4185992.0,Acinetobacter_ursingii
N50,149073.0,130857.0,176962.0,102770.0,285134.0,285134.0,102770.0,102770.0,285134.0,Corynebacterium_glutamicum
number,69.0,63.0,79.0,45.0,100.0,98.0,45.43,45.43,98.0,Corynebacterium_glutamicum
longest,367616.0,362155.0,467106.5,302531.0,655521.0,544324.57,306019.77,306019.77,544324.57,Corynebacterium_glutamicum
GC_Content,0.538339,0.5381575000000001,0.5383855,0.537764,0.53927,0.53926083,0.53777229,0.5378,0.5429,Corynebacterium_glutamicum
Completeness_Specific,100.0,100.0,100.0,99.99,100.0,100.0,99.99,91.14,100.0,Corynebacterium_glutamicum
Contamination,0.11,0.1,0.12,0.07,0.82,0.6537999999999977,0.0743,0.02,3.57,Corynebacterium_glutamicum
Total_Coding_Sequences,3058.0,3051.0,3085.0,3017.0,3117.0,3113.14,3020.43,2653.0,3229.0,Corynebacterium_glutamicum
Genome_Size,3254371.0,3252981.0,3275567.5,3231735.0,3325370.0,3324646.16,3232218.0,2843369.0,3428365.0,Corynebacterium_glutamicum
N50,100871.0,51827.5,211708.0,17582.0,287290.0,225676.0,19457.08,19457.08,225676.0,Burkholderia_dolosa
number,179.0,113.0,310.0,74.0,776.0,725.5600000000004,77.93,77.93,725.56,Burkholderia_dolosa
longest,281653.0,196141.5,521526.5,84471.0,581739.0,581183.0,90410.02,90410.02,581183.0,Burkholderia_dolosa
GC_Content,0.6707420000000001,0.6706114999999999,0.6708535,0.669914,0.671133,0.67112507,0.6700387599999998,0.6693,0.6711,Burkholderia_dolosa
Completeness_Specific,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Burkholderia_dolosa
Contamination,0.57,0.56,0.74,0.47,2.27,2.1007000000000007,0.48,0.14,2.1,Burkholderia_dolosa
Total_Coding_Sequences,5707.0,5663.5,5799.5,5560.0,6111.0,6077.63,5563.93,5563.93,6077.63,Burkholderia_dolosa
Genome_Size,6341155.0,6293619.0,6348986.0,6225958.0,6383992.0,6360166.53,6261372.96,6195642.0,6506221.0,Burkholderia_dolosa
N50,192042.0,167225.75,220943.0,90470.0,447156.0,382841.4349999999,97462.3,97462.3,382841.43,Burkholderia_ubonensis
number,136.5,117.0,167.75,58.0,343.0,326.53,67.245,67.24,326.53,Burkholderia_ubonensis
